source1_entity_id	matched_entity_ids
S1-479653207	S2-144727035,S3-40331449,S3-918954771
S1-222397860	S2-47523278,S2-51129470,S2-563618575,S2-992848645,S3-356223184,S3-393692402
S1-145489387	S2-562131682
S1-890488994	S2-458407719
S1-151646771	
S1-437534558	S2-418717017,S2-50032559,S2-97408644,S3-296663312,S3-424149178,S3-640555814,S3-678610058
S1-883959018	S2-941124290,S2-968014715,S3-211055581
S1-157625814	
S1-560902577	
S1-257713173	S2-374480702,S2-393581092,S2-518503399,S2-6065153,S2-607520627,S2-742149725,S3-127988339,S3-227294147,S3-325924176,S3-441268536,S3-627699243,S3-937300411
S1-334479517	
S1-157916239	S2-126438282,S2-151649692,S2-664601423,S2-808551043,S2-912126417,S3-280539412
S1-429875056	S2-405332673,S3-371935085,S3-979792241
S1-168560755	S2-169663306,S3-623441039
S1-597718680	S2-986760586
S1-862841108	S2-487197111,S2-954304305,S3-378202006,S3-424468083,S3-517304799
S1-505318273	S3-115355551,S3-402495354
S1-94697548	S3-197851164
S1-266981713	S2-247002122,S2-592211208,S3-848156943
S1-997287113	S2-636731086,S2-719323622,S3-70339941
S1-354084418	S2-804989507
S1-666333933	S2-768039629,S3-31243562,S3-362974571,S3-541128977,S3-870915965,S3-883424666
S1-581792926	S2-347770435,S2-464760517,S2-712300314,S3-701251203,S3-765132711
S1-334800482	S3-4078106,S3-427356582
S1-93008688	S2-635041992,S2-72844682,S3-558488311,S3-93196175
S1-720273884	S3-213685816
S1-930163117	S3-744859087
S1-892546003	
S1-157587907	S3-231578729
S1-851751228	S3-913260444
S1-316430451	S2-792807057,S2-892082800,S3-768647
S1-937289417	
S1-222926659	S2-105676790,S2-458584404,S2-566979529,S2-647389926,S2-979502487,S3-45430385,S3-586689129,S3-690869909
S1-720755856	
S1-531040816	S2-206683661
S1-396455444	S2-93084647,S3-774168029
S1-861803834	
S1-74082244	S2-1760062,S2-501437704,S3-31818781,S3-579318651
S1-447398745	S3-140648510,S3-271746341,S3-87260115
S1-966722326	S2-581330852,S3-994121227
S1-265874864	S2-222845335,S2-569402511,S3-524751468,S3-782638802
S1-491379722	S2-529384972,S3-642372663
S1-890015331	S3-581594740
S1-27571386	S2-413484811
S1-462790354	S2-457079208,S3-561045296,S3-943763666
S1-312893883	S2-11084721,S2-171509904,S2-193034989,S2-316105731,S2-363984116,S2-425127599,S2-454868572,S2-618957576,S2-628357459,S2-683746868,S2-691060753,S2-694799005,S2-801536403,S3-111344572,S3-295741432,S3-307812948,S3-35263599,S3-390998080,S3-447548299,S3-564282811,S3-871010905,S3-871354368,S3-943653915,S3-960166134
S1-527940923	S3-486862668,S3-974466013
S1-551375092	
S1-463018718	S2-525416857,S3-511491660
S1-926175983	S2-639638623,S2-856273746,S3-335360153
S1-766298463	S3-634760259
S1-363293612	S3-174392174,S3-422145424,S3-63457719,S3-671669257
S1-978849103	S2-376129409,S2-401178156,S3-230534975,S3-36072904,S3-950293097
S1-33471105	S2-441670707,S2-652529425,S3-341114095,S3-834749833
S1-415592052	S3-315437646,S3-943479484
S1-405043908	S2-171775893,S3-743465825,S3-777081136,S3-926751928,S3-935695595
S1-671149922	S2-343712834,S2-863646043,S3-429622790,S3-772276234,S3-776444869,S3-85181636
S1-739032336	S2-718458336
S1-685463176	S2-108939994,S2-405388000,S2-426531579,S2-667670,S2-719133000,S3-522526996
S1-289376468	
S1-223201360	S2-340252012,S2-516679571,S2-822988566,S3-968638449
S1-264864404	
S1-395625615	S2-119877177,S2-171509904,S2-193034989,S2-294292755,S2-316105731,S2-358482117,S2-425127599,S2-454868572,S2-477373001,S2-533880399,S2-602613488,S2-618957576,S2-628357459,S2-63520657,S2-674484978,S2-683746868,S2-694799005,S2-801536403,S3-111344572,S3-119979606,S3-295741432,S3-328568760,S3-350107792,S3-35263599,S3-390998080,S3-447548299,S3-564282811,S3-850862677,S3-871354368,S3-873941314,S3-935436459,S3-960166134
S1-190280884	S2-178626851,S2-279160334,S2-526562213,S2-645345274,S2-728885783,S2-820849902,S2-894723598,S3-11039768,S3-173811726,S3-212609392,S3-337136464,S3-483777260,S3-506214265,S3-564592560,S3-579941715,S3-597927051,S3-774172857,S3-859362683,S3-923172655
S1-530928351	S2-201627181,S2-482368988,S3-434429799,S3-51696617
S1-211939340	S2-115532504,S2-813264738
S1-135243600	S2-103356341,S2-547127599,S2-710769584,S2-787586604,S2-827409818,S3-243945972,S3-296199252,S3-43751367,S3-736405647,S3-781434789,S3-855209135,S3-855663130,S3-856235098
S1-935973418	S2-770049900
S1-201480431	S2-150371463,S2-756475232,S2-779410673,S3-310030579,S3-51452563,S3-766512393
S1-658966535	
S1-873970577	
S1-712506921	S3-267543370,S3-714527404
S1-192976027	S2-194335730
S1-668038068	S2-185076499,S2-208739302,S2-35850620,S2-41039653,S2-505815897,S2-581115924,S2-803581962,S3-222169991,S3-404613538,S3-56364208,S3-631835538,S3-780820017,S3-860352869
S1-326766473	S2-203911955,S2-65259328
S1-362254793	S2-294355682,S2-630596728
S1-191712829	S2-656036609,S3-211950359,S3-792000050,S3-805899896,S3-837504318
S1-588140741	S3-138130567
S1-423576606	S2-192492884,S2-46431373,S2-615535250
S1-722955555	S2-823548975,S3-27407358
S1-950616388	
S1-576046716	S3-121519597,S3-26242934,S3-573709998,S3-661156561
S1-163155105	S3-289006823,S3-962340222
S1-885329482	S2-188208410,S2-234725944,S2-340351037,S2-365261267,S2-412272491,S2-712593022,S3-475476127,S3-740894279,S3-881389615,S3-945441269
S1-196034636	S2-109565648,S2-144040374,S2-192492884,S2-22525163,S2-28857946,S2-415086948,S2-46431373,S2-468606430,S2-479360697,S2-555296460,S2-739063209,S2-753241787,S2-762451866,S2-817197522,S2-889752325,S3-283292000,S3-386674253,S3-493361037,S3-526315796,S3-533089207,S3-547807478,S3-578868807,S3-629198695,S3-766505945,S3-87747547,S3-884560398,S3-950277985
S1-673409467	S2-794100459
S1-267895876	S3-863228513
S1-935460811	S2-10640499,S2-166997195
S1-473935198	S3-295067239,S3-691156949
S1-952107877	S2-127880429,S2-764346823,S2-810856496,S3-670754609,S3-911023958,S3-997484777
S1-1468202	S2-190251076,S3-538421219
S1-37758530	S2-432683425,S2-914110968,S3-874265977,S3-933831861,S3-94654423
S1-634509405	S3-929207784
S1-656039759	S2-781822078,S3-60853079
S1-39859883	S2-674789224,S3-334926711
S1-26144593	S2-238889625,S2-254746838,S2-320049195,S2-382743746,S3-302821509,S3-570638910
S1-760878966	
S1-797549342	S3-594249429
S1-546108690	
S1-792302860	
S1-163788378	S2-696278686,S3-440311936,S3-726665299,S3-993420879
S1-77067567	S2-373255180,S2-488005481,S2-72272063,S2-773599369,S2-815374707,S2-880086427,S2-915274368,S2-930013568,S3-132945983,S3-385977320,S3-386978081,S3-504150238,S3-525805099,S3-942633831
S1-167945261	S2-695277897,S3-346279220,S3-412336123,S3-499647897
S1-947900265	S2-204689587,S2-463798265,S2-48193027,S3-86240901,S3-864700447
S1-939005201	S3-429628231,S3-855336434
S1-252584352	
S1-37820373	
S1-954994290	S2-940296316,S3-313659159,S3-820020667
S1-551397859	
S1-205340363	S3-202773408,S3-434700676
S1-553955092	S2-292742989,S2-46567247,S2-705231164
S1-568852182	S2-17389109,S2-322603797,S2-792819238,S3-719448877,S3-885373665,S3-930355826
S1-913735434	S3-343313904,S3-560542255
S1-46992261	S2-131371823,S2-267232231,S2-662642683
S1-726767517	S3-365265456
S1-387488807	S2-653358031,S3-837908937
S1-375941524	S3-100397461,S3-27099740,S3-275713802,S3-461738674,S3-785636499
S1-694364817	
S1-372574400	S2-215615988,S3-178883121,S3-199726202,S3-216617670,S3-889287265
S1-640802076	S2-107361519,S2-306122457,S2-906041852,S3-594523386,S3-792000050
S1-574594289	
S1-15509458	S2-783402760,S2-784359314,S3-350961972
S1-76104004	S2-19488870,S2-224795536,S2-246249259,S2-323813630,S2-692801131,S3-152975776
S1-760116317	S2-109139335,S2-701444687
S1-576023318	S2-442356925,S2-464722420,S3-478494637
S1-132661977	
S1-81190037	S2-267581749,S3-257303531,S3-962023903
S1-278037686	
S1-153917417	S3-515993183
S1-390565485	S2-984535898
S1-677217795	S2-7780909,S3-206139230
S1-464999762	S2-233013096,S2-50120787,S3-750074771
S1-444581580	S2-787397923,S2-939378014,S2-997399482
S1-324217446	
S1-809742753	
S1-586048937	
S1-897978924	S2-715692072,S2-96064913
S1-834609056	S2-124751449,S2-260500078,S2-372486708,S2-509274695,S2-873295227,S2-890855716,S3-295210056,S3-54161840,S3-843745691
S1-665583999	S2-199880208,S2-504020260,S3-155826257,S3-210965240,S3-353360217,S3-555986952,S3-679781232,S3-854625519
S1-50348426	S2-98071520
S1-914725803	
S1-754561418	S3-542728528
S1-980681816	S2-196658299,S2-332654486,S2-767629134,S2-79437697,S2-818783708,S3-270748392,S3-341042397,S3-511910403
S1-143888963	S2-304017882,S3-168891303
S1-202940358	S2-281416000,S2-580274444,S2-583323092,S3-397000566
S1-871166781	S3-296218165
S1-11288288	S3-761934591,S3-974008316
S1-752348874	
S1-9992610	
S1-328717685	
S1-31501032	S2-321631616,S3-239406235
S1-854827986	S2-109032330,S2-172349601,S2-249728755,S3-342837464
S1-23141226	S2-65095690,S2-747180454,S3-857824234
S1-559419891	S2-116558630,S2-25000704,S2-321692967,S2-464261400,S2-468606430,S2-66239695,S2-669473058,S2-83579588,S3-854392779,S3-95087696,S3-963242100
S1-904190977	S2-254970216,S2-859938161,S3-603290701
S1-960607162	
S1-901500518	S3-761705216
S1-816314184	
S1-713998555	S2-672538477,S2-735518142,S2-886533962,S3-203162059,S3-298744239,S3-712220218,S3-750717280
S1-407293203	S2-132592581,S2-553765975,S3-198233735,S3-57645793,S3-584027337
S1-855174372	S2-358511655,S3-187043987,S3-272832224,S3-797962036,S3-999894321
S1-87911478	S2-281832922,S2-552973094,S3-273755270,S3-482105901,S3-519145684,S3-720322485
S1-785331771	S3-894488289
S1-688173117	
S1-320562527	S2-847941918
S1-489592015	S2-647578512,S2-831065735,S3-557790139
S1-297139756	
S1-988132008	S3-830963611,S3-922039788
S1-621038927	S2-690169870,S3-30218966,S3-628480008,S3-998000738
S1-534371607	S2-1309002,S2-324777315,S2-414685723,S2-484790361,S2-615890022,S3-313347094,S3-82691642
S1-75284768	
S1-891290861	S2-471653271,S2-772504992,S3-619848067
S1-322673613	S2-195525502,S3-489752822
S1-92440205	S2-411505647,S2-856705898,S3-380053251,S3-576044818,S3-804392547,S3-902381307
S1-538360156	S2-992604852
S1-118007471	S3-746027190
S1-718577717	
S1-500389702	S2-341222641,S2-515893181,S2-556207950,S3-110719910
S1-496228897	S2-382406040,S2-504410065,S3-878760576
S1-47276660	S2-10485203,S2-161317347,S2-256097540,S2-442150297,S2-929155574,S3-515303903,S3-74703533
S1-911110329	S3-671189706
S1-341821045	
S1-328056855	S2-600741962
S1-195028461	S3-145449553
S1-359051804	S3-362727149,S3-654212349,S3-910302971
S1-305650252	S2-557065635,S2-893584037,S2-923778171,S3-482324397
S1-895863150	S3-367537027,S3-573167220
S1-864431514	S2-388257739,S2-998215412,S3-624912878,S3-93074654
S1-403075064	S2-201224083
S1-160289486	S3-693254553
S1-466318402	S2-121454854,S3-314750851
S1-940815738	S2-139246647
S1-429152351	S3-907151801
S1-939892812	S2-64517918,S3-252716084,S3-684683611
S1-733569185	S3-294515844
S1-91408633	S3-226028268
S1-786477209	S3-459971788
S1-123201093	S3-280261750
S1-486427284	
S1-184156790	
S1-483371293	
S1-67165508	S2-558228118
S1-228535872	
S1-833777431	
S1-364990768	S2-866748620,S3-677797617
S1-12132358	
S1-202689481	
S1-70476371	S2-654812618,S3-905503521
S1-598431868	
S1-440228996	
S1-985974366	S2-28467949
S1-156944566	S3-285174961,S3-706081085
S1-647904765	
S1-880676028	
S1-585753698	S2-4693420,S2-776070099,S3-491271088
S1-301844496	
S1-535157746	
S1-136706766	S3-893764033
S1-192614629	
S1-593190235	
S1-517369590	
S1-369542483	S2-946729204
S1-222964334	S2-942651838
S1-312488088	
S1-875848799	
S1-927266518	
S1-301479983	
S1-351569122	S3-406056386
S1-846128942	
S1-236138196	S2-342171531
S1-500339088	S2-339743977,S3-229450259
S1-110238347	
S1-255583590	
S1-355431659	S2-471733463
S1-308424473	S2-462443276,S3-411951890
S1-404839992	
S1-247535861	S2-561001636,S3-414822344
S1-521953749	
S1-772954637	
S1-425944620	
S1-428513293	S2-704000980
S1-241087278	S3-515519789
S1-617010621	
S1-168135156	S2-802066783
S1-152628317	
S1-970673129	
S1-936981225	
S1-678077266	
S1-521691733	
S1-731127	S2-769159334
S1-918680432	S2-653375111,S2-787208461
S1-626480380	
S1-613394718	
S1-749425027	S2-732454513
S1-478251033	
S1-767559089	
S1-528103420	S2-522852998
S1-997291118	
S1-853418281	S2-766260510,S3-34041436
S1-813430954	
S1-818394992	
S1-336348120	
S1-938517036	S3-606412248
S1-817249913	S2-330531665,S2-632854877,S3-341593124
S1-711446413	S3-670243459
S1-100074177	S2-42285828
S1-634163947	
S1-379346861	
S1-159430039	
S1-417489867	
S1-497752798	
S1-983245212	S2-144174242,S3-393812408
S1-901431475	
S1-167082063	
S1-836273232	S2-366349752,S2-820092465,S3-94970351
S1-480773556	S2-184219113,S2-916982682,S2-94587687
S1-815222089	
S1-954032447	S2-249467606
S1-370219432	
S1-554874031	S3-162334432
S1-107551363	S3-64861290
S1-790648191	
S1-263785582	
S1-67962349	S3-127981013
S1-44152189	S2-225425171
S1-344979354	S2-675429334
S1-606833135	S2-540557385
S1-931870082	S2-636474738
S1-775108885	
S1-230995343	S2-679693591
S1-357766687	S2-791594414,S2-923030427
S1-810153172	
S1-422021690	
S1-27682405	S3-66891950
S1-674689302	
S1-520142924	
S1-5714279	S2-305903873,S2-990548839
S1-1434471	
S1-852497040	
S1-617578544	
S1-392720160	
S1-153271811	S2-859641110,S3-331847401
S1-607050474	
S1-879152461	
S1-931403757	
S1-254609134	
S1-190193280	
S1-714964774	
S1-805964837	
S1-290789007	
S1-303443852	S2-552135290
S1-224682544	
S1-308834751	S3-387288677
S1-558665942	
S1-263913871	
S1-370139170	S2-411179167
S1-689713854	
S1-131399361	S2-111372689,S2-515221415
S1-485348840	S2-105318886
S1-310697251	S3-375705167
S1-385267321	
S1-52384943	S3-415529532
S1-266727065	S2-878242760
S1-132228132	
S1-371238406	
S1-63143384	S2-523852813,S2-698892081,S2-74736496,S2-840168266,S2-933028049,S3-14995102,S3-237510890,S3-367669232,S3-415044026,S3-541691260
S1-96351293	
S1-934367223	S2-240326836,S2-690007929,S2-828361698,S3-325548175
S1-294007841	
S1-847367163	
S1-58622080	
S1-674219144	
S1-655316612	
S1-315047265	
S1-448311342	S2-376498189,S3-639581325
S1-252194150	
S1-665464764	S3-992686867
S1-872381	S3-529634265
S1-284168113	S2-658829455,S3-710089726
S1-33433586	S2-859425999,S3-923721659
S1-389458903	S2-666962413,S3-212546675
S1-388599214	
S1-687642049	
S1-592747113	S3-299673419
S1-160119626	
S1-545745262	
S1-61751337	
S1-712870171	
S1-610595443	
S1-381664150	S3-325309639
S1-540656026	
S1-768698252	
S1-791102689	
S1-165560012	
S1-331169070	
S1-708791266	S2-312651993,S3-353886066
S1-788572266	S3-508465315
S1-718016225	
S1-380895325	
S1-332453196	S2-17734303,S2-662909571
S1-332485176	
S1-708730136	
S1-83586703	S3-706318239,S3-719757067
S1-544022183	S2-153924670,S2-51745037
S1-182243312	
S1-45218843	
S1-128592663	S2-590006595
S1-608017634	S2-118372865
S1-673806382	
S1-739513008	S2-412138333
S1-467489653	S3-163804204
S1-437928745	S2-283040821
S1-882107686	S2-792454868
S1-969292346	S2-822070106
S1-354457248	
S1-217166406	
S1-468447820	
S1-925779866	
S1-786261371	S2-309276451,S2-830930814,S2-846187167
S1-503347428	S3-272444891
S1-124515126	S2-76044950
S1-245442550	
S1-340891682	
S1-520589552	S2-254314027,S2-559696764,S3-325341360
S1-385704262	S2-466243288
S1-398327103	S3-38126986
S1-498891074	
S1-17035665	
S1-499356468	
S1-20054716	S2-5504792,S3-484483152
S1-842313384	S2-194984064,S2-497423375,S3-553504856
S1-410653648	S3-902874280
S1-555145690	S2-831718501
S1-465293311	S2-245436223,S2-365923572,S2-79705502,S3-148442007,S3-158877725,S3-462180447,S3-545620657,S3-963260014
S1-318478340	S2-635325101,S3-178730472
